Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
01-Jan-2021,1443,1420.6,1425.05,4405469,63155.3342195,24302,
04-Jan-2021,1438,1399,1416,7870096,111534.732817,40233,
05-Jan-2021,1430.75,1409,1426.7,7193412,102141.606024,49022,
06-Jan-2021,1440,1413.1,1420.55,11067025,157545.110102,62408,
07-Jan-2021,1432.6,1412.55,1416.25,9947421,141486.2331115,47083,
08-Jan-2021,1442,1423.1,1431.65,6884382,98639.9739015,59221,
11-Jan-2021,1464.9,1436.3,1451.45,8665696,125894.82027,94720,
12-Jan-2021,1487.7,1449.1,1481,10194078,149795.635959,95861,
13-Jan-2021,1496.9,1462.1,1470.65,8467325,124991.9728065,72902,
14-Jan-2021,1488,1456,1468.75,6148583,90310.624624,52495,
15-Jan-2021,1471.65,1445,1466.65,7082618,103275.074024,81747,
18-Jan-2021,1502.85,1467,1483.1,21412816,318824.8825045,194254,
19-Jan-2021,1511.65,1467,1503.85,8680127,129344.471339,107454,
20-Jan-2021,1501,1486,1492,6673026,99678.406473,59507,
21-Jan-2021,1494.35,1468.15,1474.8,13166527,194761.3888935,89132,
22-Jan-2021,1467.9,1440.15,1443.55,7696182,111933.6369815,90596,
25-Jan-2021,1481,1455.15,1462.85,10172359,149118.0574175,124272,
27-Jan-2021,1471.9,1406.15,1409.6,11778138,169254.4542015,112616,
28-Jan-2021,1401.3,1342,1371.45,21352223,291278.8635235,127854,
29-Jan-2021,1408.75,1364.5,1390.5,14352251,199238.9170285,81060,
01-Feb-2021,1482.5,1401,1476.75,13185272,189792.3148945,89371,
02-Feb-2021,1578.5,1497.4,1560.55,21210103,330138.0164,128814,
03-Feb-2021,1581.7,1542,1574.8,10118627,158454.986915,61311,
04-Feb-2021,1588,1543.45,1579.1,12242342,191997.1304635,60188,
05-Feb-2021,1618.25,1548,1597.6,13527358,215822.28443,82760,
08-Feb-2021,1631.65,1595.7,1605.25,8723790,140850.760733,61162,
09-Feb-2021,1628,1586.7,1611.85,9210683,148410.622603,49696,
10-Feb-2021,1614.85,1567,1581.75,9894003,157596.877186,53254,
11-Feb-2021,1597.8,1564.2,1572.35,6824309,107672.959166,40302,
12-Feb-2021,1592.5,1573,1581.95,4955053,78505.7295805,45888,
15-Feb-2021,1625,1596.7,1616.6,5177622,83267.767444,54242,
16-Feb-2021,1641,1608.45,1626.65,6948679,112935.4490015,77736,
17-Feb-2021,1621.8,1583,1586.5,6397213,102496.588915,52477,
18-Feb-2021,1605.95,1548,1554.3,7360280,115622.6154035,78102,
19-Feb-2021,1564.2,1533,1539.1,8569754,132653.552328,78655,
22-Feb-2021,1573.9,1539.45,1548,14725919,229347.2811795,108365,
23-Feb-2021,1557.7,1522.65,1529.15,9119953,140189.5576995,100779,
24-Feb-2021,1613.95,1516.25,1606.45,7157166,111791.0453425,85858,
25-Feb-2021,1636.25,1602,1606.4,10054785,162954.647699,101363,
26-Feb-2021,1588.9,1521,1534.4,13956423,215467.184946,86867,
01-Mar-2021,1572.55,1540.7,1558.9,6768009,105542.2534825,42740,
02-Mar-2021,1587.5,1551,1568.2,8055019,126452.624708,45917,
03-Mar-2021,1596,1565,1586.85,5611205,88643.145091,47106,
04-Mar-2021,1571,1539.1,1552.05,8145719,126449.5616275,61061,
05-Mar-2021,1545.6,1521.1,1530,8722911,133706.2457675,56598,
08-Mar-2021,1555,1512.5,1519.5,7558525,115674.37062,54426,
09-Mar-2021,1565.7,1538.25,1562.5,7533348,117258.105475,63489,
10-Mar-2021,1575,1552.15,1555.75,5527508,86219.727974,39852,
12-Mar-2021,1600,1535.05,1551.95,7815602,122702.5374885,72307,
15-Mar-2021,1548.4,1515.3,1528.65,6115242,93260.4106875,62945,
16-Mar-2021,1540.4,1510,1512.15,6861183,104499.0940105,64547,
17-Mar-2021,1539,1490.2,1495.35,10532214,159470.421059,82899,
18-Mar-2021,1522.05,1481.15,1491,9032770,135940.9752125,74742,
19-Mar-2021,1511.2,1474.05,1497.5,10617510,157890.4466105,87797,
22-Mar-2021,1494.9,1460.4,1469.15,7007816,103244.191762,89976,
23-Mar-2021,1507.45,1469.1,1500.15,9880714,146933.4948735,105604,
24-Mar-2021,1506.45,1471,1478.8,8184450,121874.190813,83266,
25-Mar-2021,1495.55,1450.25,1463.35,11982178,175961.9811175,94038,
26-Mar-2021,1499,1474,1491.3,6010629,89365.7956325,39534,
30-Mar-2021,1562.55,1501.55,1553.7,12804032,196890.493269,60399,
31-Mar-2021,1548,1488,1493.65,15387253,230771.922052,82410,
01-Apr-2021,1499.4,1465,1486.75,17881881,264747.0584945,77013,
05-Apr-2021,1485,1431,1449.6,8003293,116131.2555475,72337,
06-Apr-2021,1462.65,1432.65,1440.25,7537867,108881.6673705,53534,
07-Apr-2021,1456.7,1421.55,1447.2,12544090,181266.863156,66145,
08-Apr-2021,1460.9,1430.5,1432.8,8806796,127305.4127895,54160,
09-Apr-2021,1432.8,1415.1,1421.75,14078908,200326.1801365,80828,
12-Apr-2021,1399,1353,1367.05,11274564,154965.908035,109876,
13-Apr-2021,1406.45,1361,1400.35,9300341,128645.362735,70653,
15-Apr-2021,1436.7,1391,1430.1,17222492,242879.6684735,93967,
16-Apr-2021,1445,1423.5,1428.65,7803263,112059.42978,90023,
19-Apr-2021,1417.7,1372.3,1412.4,12034621,167723.59445,140994,
20-Apr-2021,1426.4,1383.95,1391.4,11593135,162917.0686305,97169,
22-Apr-2021,1426.8,1371.05,1422.5,19242656,268103.336832,113492,
23-Apr-2021,1434.6,1400.2,1414.15,11356764,161077.8169385,99688,
26-Apr-2021,1429,1402.75,1404.8,15085476,213186.0694785,94547,
27-Apr-2021,1442,1404.8,1438.7,10296453,147280.9647065,110473,
28-Apr-2021,1479,1431,1476.8,12051970,176343.766586,117809,
29-Apr-2021,1503.65,1461,1472.5,12039276,178319.6036675,129233,
30-Apr-2021,1453.8,1407.5,1412.3,17616451,250352.8980125,85961,
03-May-2021,1421.9,1377.3,1414.45,11236850,157099.4576335,85866,
04-May-2021,1423,1383.3,1388.35,10743164,150812.19692,77534,
05-May-2021,1409.6,1381.7,1402.6,7210806,100963.921721,57939,
06-May-2021,1410.8,1395,1400.9,5738522,80531.131063,36925,
07-May-2021,1424.95,1410.25,1414.75,6024167,85479.585797,48148,
10-May-2021,1430,1412.8,1419.85,5530025,78518.8546525,36994,
11-May-2021,1424.2,1395.05,1403.55,7259517,102231.213943,51179,
12-May-2021,1408.6,1388.85,1399.5,6887463,96303.79958,53642,
14-May-2021,1398.9,1382.35,1386.85,5302071,73629.4707885,56051,
17-May-2021,1442.6,1381.3,1440.25,7560346,107499.465042,98412,
18-May-2021,1482.75,1455,1476.7,11082640,163256.270286,105921,
19-May-2021,1478.85,1452.55,1458.2,5065458,74115.902312,54181,
20-May-2021,1465.9,1428.5,1432.8,5342092,77316.377008,49625,
21-May-2021,1501.9,1443,1497.3,9670823,142870.857468,127875,
24-May-2021,1520.45,1498.5,1509.95,11073051,167288.122703,122808,
25-May-2021,1513.75,1470.5,1478.95,9618487,142735.3892815,121117,
26-May-2021,1487,1470,1477.05,6141995,90819.2751005,92962,
27-May-2021,1489,1462.45,1482.65,10219748,150430.4001515,98444,
28-May-2021,1513,1478.75,1503.45,8875010,132734.374779,61668,
31-May-2021,1519.5,1487.5,1515.85,7830527,118022.8706965,65740,
01-Jun-2021,1527,1507.25,1511.7,5515081,83593.764857,49333,
02-Jun-2021,1510.2,1493,1504,5312008,79680.4768975,40474,
03-Jun-2021,1524.95,1487.75,1520.55,5143630,77907.803099,50717,
04-Jun-2021,1520.65,1499.2,1500.95,4712238,71048.080871,43235,
07-Jun-2021,1514,1496,1499.85,4045834,60734.882115,34257,
08-Jun-2021,1501.3,1481.5,1483.05,4936270,73401.187638,46777,
09-Jun-2021,1502,1472.05,1480.3,5111721,76064.160869,72791,
10-Jun-2021,1489,1473.65,1481.05,5741770,84975.705545,57382,
11-Jun-2021,1496.55,1481.05,1486.35,3602987,53600.9393955,56478,
14-Jun-2021,1486,1462.55,1479.45,4440982,65469.9819995,68213,
15-Jun-2021,1496,1474.8,1490.25,3784801,56397.5816045,63011,
16-Jun-2021,1494,1478.1,1484.6,3851049,57178.994443,48823,
17-Jun-2021,1478.75,1460,1466.1,4641901,68284.2222205,68296,
18-Jun-2021,1490,1455,1479.8,5969030,87778.323775,107469,
21-Jun-2021,1491.8,1459,1488.7,3630236,53561.085687,87544,
22-Jun-2021,1508,1480,1483.8,7183412,107465.4809535,130957,
23-Jun-2021,1497.8,1478.6,1485.5,3922434,58333.7882225,93786,
24-Jun-2021,1513.45,1488,1506.25,7392512,111053.974403,104655,
25-Jun-2021,1522,1507,1515.1,5191588,78663.531518,56972,
28-Jun-2021,1523,1505,1508.35,4678393,70663.374402,40345,
29-Jun-2021,1508.2,1492.15,1502.05,5485846,82190.416073,35968,
30-Jun-2021,1509,1494.1,1497.9,4839511,72642.9715995,37508,
01-Jul-2021,1502,1483,1486.75,8455721,126108.2491785,38788,
02-Jul-2021,1489.25,1477,1480.4,7413518,109919.260754,38370,
05-Jul-2021,1504.5,1484.55,1495.45,3686941,55216.839479,54446,
06-Jul-2021,1540,1496,1534.7,8834516,134908.1820725,124887,
07-Jul-2021,1545.35,1527.7,1539.5,4814595,74117.3051565,51642,
08-Jul-2021,1537.7,1513.45,1520.45,4210461,64266.3034565,57874,
09-Jul-2021,1516,1497.5,1502,5347921,80509.526578,55574,
12-Jul-2021,1502,1484,1487,7229489,107933.865059,63779,
13-Jul-2021,1506.1,1484.1,1501.85,9089071,135785.896872,77965,
14-Jul-2021,1507.35,1491.1,1499.15,4894247,73424.5915185,47142,
15-Jul-2021,1526.75,1499.65,1520.7,5219401,79233.0498385,81003,
16-Jul-2021,1529.95,1518.8,1522.35,2585314,39405.5273925,66135,
19-Jul-2021,1488.85,1466,1471,12555800,185527.790561,183230,
20-Jul-2021,1454,1436.15,1443.15,12087125,174460.423456,124398,
22-Jul-2021,1468.5,1445,1448.7,6603557,96134.9216175,103214,
23-Jul-2021,1457.45,1435.3,1442.75,6563342,94854.6585405,103889,
26-Jul-2021,1444,1428.1,1434.55,6583583,94469.652082,95175,
27-Jul-2021,1449.9,1436.1,1439.75,11200715,161675.233124,112562,
28-Jul-2021,1438.7,1404,1417.3,10335171,146408.2017595,117136,
29-Jul-2021,1429.95,1413.3,1418.25,6851115,97450.300089,117926,
30-Jul-2021,1431.75,1407.95,1426.45,5827744,82906.1985285,61160,
02-Aug-2021,1435,1416.25,1422.65,6629393,94527.4888315,46803,
03-Aug-2021,1439.9,1410,1434.7,6016560,85935.282588,74255,
04-Aug-2021,1474.5,1440,1465.3,11026974,161318.290928,161716,
05-Aug-2021,1507.05,1457.4,1484.85,9411204,139592.9515995,160622,
06-Aug-2021,1500,1474,1492.65,6669635,99407.7328665,88521,
09-Aug-2021,1507.35,1476,1503.9,5499024,82565.5464295,77560,
10-Aug-2021,1519.75,1489,1507.65,7419173,112206.855661,100017,
11-Aug-2021,1518.85,1491.05,1494.95,6292893,94485.740273,69570,
12-Aug-2021,1507.6,1489.3,1501.4,4298837,64425.6692455,47690,
13-Aug-2021,1531,1501,1526.2,8329214,126723.6367235,101844,
16-Aug-2021,1535,1521.45,1530.6,3126389,47832.4101345,64371,
17-Aug-2021,1524,1505.3,1514.65,4141333,62697.638902,70797,
18-Aug-2021,1565.35,1508.35,1513,11492966,176798.5968555,251258,
20-Aug-2021,1519.8,1486.05,1514.75,6575203,98988.140169,143808,
23-Aug-2021,1533.15,1508.65,1524.6,5421527,82472.9823075,128217,
24-Aug-2021,1564.5,1527.45,1558.85,9190657,142471.9759425,215169,
25-Aug-2021,1564.8,1548,1557.4,3863987,60147.9734815,112138,
26-Aug-2021,1571,1543.45,1554.8,5559501,86691.2359215,123561,
27-Aug-2021,1558.65,1545.25,1548.45,3191069,49494.591602,48030,
30-Aug-2021,1570,1551.6,1568.25,4524583,70729.247684,58107,
31-Aug-2021,1583.35,1562.2,1581.4,6031288,95069.850627,70870,
01-Sep-2021,1598,1574.5,1579.1,6211279,98552.7340565,85260,
02-Sep-2021,1592,1571.25,1589,4809262,76135.44239,44510,
03-Sep-2021,1598,1568.3,1576.05,5367667,84933.286409,75480,
06-Sep-2021,1580.95,1561.95,1565.7,3938448,61811.9113255,47404,
07-Sep-2021,1582,1555.2,1569.25,3622748,56870.3098225,64757,
08-Sep-2021,1580.5,1565.6,1576.4,3362040,52934.2581835,47811,
09-Sep-2021,1579.45,1561,1568.6,4125474,64680.2813775,39121,
13-Sep-2021,1584,1553.65,1555.55,4479582,69900.9495685,44739,
14-Sep-2021,1564.5,1546.6,1548.55,4879253,75738.8202365,49546,
15-Sep-2021,1554.8,1535,1546.8,7411499,114415.513235,88634,
16-Sep-2021,1564.3,1536.3,1559.95,5130275,79589.9635825,116534,
17-Sep-2021,1589,1559.2,1582.15,10249051,161548.111767,168969,
20-Sep-2021,1581.7,1558,1559.85,4390805,68894.374833,99026,
21-Sep-2021,1568.65,1528.95,1551.95,7387498,114102.029634,106161,
22-Sep-2021,1550.15,1530,1533.7,5291101,81323.327959,86021,
23-Sep-2021,1572,1542,1570,6832152,106667.87042,136784,
24-Sep-2021,1607.95,1575,1601.55,10403351,165728.9484245,275427,
